Series,Experiment,Source,Target,Complete,Parent,Source 1,Target 1,Source 2,Target 2,Best steps,Best BLEU ALL,Best CHRF3 ALL,Best WER ALL,Best TER ALL,Best spBLEU ALL,Last steps,Last BLEU ALL,Last CHRF3 ALL,Last WER ALL,Last TER ALL,Last spBLEU ALL
Afro-Asiatic,Overall.Run1,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,19000,31.10,53.04,51.62,66.47,39.47,23000,30.91,53.23,51.89,67.46,39.20
Afro-Asiatic,Overall.Run2,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,15000,27.97,50.57,54.25,70.52,36.42,16000,28.10,50.40,54.12,70.35,36.56
Afro-Asiatic,Overall.Run3,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,10000,29.76,52.46,51.62,67.49,38.40,14000,29.85,52.30,52.02,67.30,38.29
Afro-Asiatic,Overall.Run4,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,19000,31.42,53.22,50.77,66.64,40.29,23000,30.77,52.54,50.23,66.51,39.66
Afro-Asiatic,Overall.Run5,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,20000,29.87,51.00,52.34,67.24,38.01,24000,29.39,50.98,53.40,68.44,37.61
Afro-Asiatic,PartialNT.Scenario1,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,7000,14.72,36.27,64.13,83.71,21.08,11000,15.09,36.23,62.52,81.54,21.76
Afro-Asiatic,PartialNT.Scenario2,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,15000,13.87,38.31,63.09,82.10,22.33,19000,13.81,38.64,63.72,82.92,22.58
Afro-Asiatic,PartialNT.Scenario3,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,10000,17.41,43.49,62.17,81.20,26.89,14000,17.14,44.00,64.17,83.06,26.47
Afro-Asiatic,RelatedLanguage.PartialNT.Scenario1.PeekAhead,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,hau-hausa,fuh-fuhbkf,12000,13.46,34.76,67.57,87.87,18.73,15000,13.78,34.97,66.42,86.13,19.33
Afro-Asiatic,RelatedLanguage.PartialNT.Scenario2.PeekAhead,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,hau-hausa,fuh-fuhbkf,12000,13.02,37.63,65.62,85.32,21.09,15000,13.20,37.96,65.85,85.55,21.27
Afro-Asiatic,RelatedLanguage.PartialNT.Scenario3.PeekAhead,hau,daa,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,hau-hausa,fuh-fuhbkf,25000,17.76,44.01,61.92,80.65,27.00,29000,17.18,43.94,63.32,82.43,26.29
Afro-Asiatic,SourceText.Greek.Scenario1,grc,daa,True,facebook/nllb-200-distilled-600M,grc-grcsbl,daa-daaNT,,,8000,11.65,31.55,70.35,90.07,16.60,12000,11.81,31.84,70.88,90.80,16.70
Afro-Asiatic,SourceText.Greek.Scenario2,grc,daa,True,facebook/nllb-200-distilled-600M,grc-grcsbl,daa-daaNT,,,14000,11.02,34.64,67.40,86.80,18.71,18000,10.86,35.64,70.81,90.98,18.22
Afro-Asiatic,SourceText.Greek.Scenario3,grc,daa,True,facebook/nllb-200-distilled-600M,grc-grcsbl,daa-daaNT,,,13000,15.98,40.78,64.29,83.35,24.83,17000,15.39,41.48,67.49,86.96,23.92
Austronesian,Overall.Run1,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,17000,36.34,54.17,49.44,61.95,40.24,21000,36.47,53.90,49.94,61.81,40.20
Austronesian,Overall.Run2,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,20000,35.02,53.06,48.11,61.01,38.68,21000,34.97,53.50,49.42,62.39,38.99
Austronesian,Overall.Run3,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,30000,36.84,54.43,46.23,59.73,40.46,34000,36.97,54.68,46.13,58.81,40.77
Austronesian,Overall.Run4,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,8000,34.03,53.26,50.33,63.64,37.82,12000,33.29,53.56,51.83,65.39,37.14
Austronesian,Overall.Run5,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,13000,35.14,54.16,49.07,62.03,39.38,17000,36.22,54.63,48.22,60.52,40.17
Austronesian,PartialNT.Scenario1,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,17000,20.90,43.20,62.97,79.23,23.49,,,,,,
Austronesian,PartialNT.Scenario2,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,16000,20.80,43.45,61.89,77.17,24.95,,,,,,
Austronesian,PartialNT.Scenario3,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,,,19000,26.13,47.69,56.82,70.11,30.43,,,,,,
Austronesian,RelatedLanguage.PartialNT.Scenario1.PeekAhead,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,ksd-ksd,rai-rai,15000,24.06,45.28,58.30,74.38,26.83,19000,25.17,45.14,55.94,71.88,28.00
Austronesian,RelatedLanguage.PartialNT.Scenario2.PeekAhead,ksd,kqw,False,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,ksd-ksd,rai-rai,,,,,,,,,,,,
Austronesian,RelatedLanguage.PartialNT.Scenario3.PeekAhead,ksd,kqw,True,facebook/nllb-200-distilled-600M,ksd-ksd,kqw-kqw,ksd-ksd,rai-rai,27000,36.00,54.46,48.00,59.31,39.73,29000,36.53,54.90,47.33,58.24,40.37
Austronesian,SourceText.Greek.Scenario1,grc,kqw,True,facebook/nllb-200-distilled-600M,grc-grcsbl,kqw-kqw,,,12000,22.17,41.39,61.26,76.63,24.64,16000,22.27,41.34,61.37,76.53,24.75
Austronesian,SourceText.Greek.Scenario2,grc,kqw,True,facebook/nllb-200-distilled-600M,grc-grcsbl,kqw-kqw,,,10000,24.61,45.85,57.81,71.81,28.52,14000,24.70,45.73,57.31,71.29,28.60
Austronesian,SourceText.Greek.Scenario3,grc,kqw,True,facebook/nllb-200-distilled-600M,grc-grcsbl,kqw-kqw,,,21000,32.30,52.80,52.15,63.49,36.78,25000,32.25,52.60,51.72,63.59,36.74
Dravidian,NewToOld.Scenario1,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,5000,8.43,46.82,58.66,85.80,23.57,9000,8.17,46.61,58.54,86.28,23.12
Dravidian,NewToOld.Scenario2,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,11000,16.06,54.44,50.46,74.87,33.95,15000,15.92,54.32,50.75,75.38,33.75
Dravidian,Overall.Run1,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,17000,21.74,59.53,46.64,69.73,40.01,21000,21.91,59.34,45.96,68.44,40.91
Dravidian,Overall.Run1.NLLB-distilled-1.3B,tam,mal,True,facebook/nllb-200-distilled-1.3B,tam-tam2017,mal-mal,,,12000,24.88,62.67,43.93,65.55,44.24,16000,25.73,62.58,44.00,64.68,44.72
Dravidian,Overall.Run1.NMT.1-1,tam,mal,True,SILTransformerBase,tam-tam2017,mal-mal,,,8000,12.75,45.43,56.90,79.10,26.44,,,,,,
Dravidian,Overall.Run2,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,9000,20.02,57.95,48.01,68.60,39.14,13000,20.65,58.54,48.61,69.27,40.09
Dravidian,Overall.Run2.NMT.1-1,tam,mal,True,SILTransformerBase,tam-tam2017,mal-mal,,,21000,11.15,46.91,56.27,78.97,27.83,22000,11.17,45.74,57.34,79.03,26.97
Dravidian,Overall.Run3,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,12000,21.10,58.20,47.03,68.28,38.49,16000,21.70,58.39,46.96,67.54,39.53
Dravidian,Overall.Run3.NMT.1-1,tam,mal,True,SILTransformerBase,tam-tam2017,mal-mal,,,17000,13.34,46.94,55.47,77.21,27.98,21000,14.90,48.00,54.01,74.84,29.70
Dravidian,Overall.Run4,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,10000,21.82,58.63,47.65,70.21,39.81,14000,21.64,58.23,48.23,71.49,39.71
Dravidian,Overall.Run4.NMT.1-1,tam,mal,True,SILTransformerBase,tam-tam2017,mal-mal,,,14000,14.46,47.23,56.80,79.15,28.82,18000,14.31,47.08,56.10,77.87,28.96
Dravidian,Overall.Run5,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,15000,21.90,58.09,45.74,68.27,40.64,16000,22.16,58.47,47.25,69.24,40.80
Dravidian,Overall.Run5.NMT.1-1,tam,mal,True,SILTransformerBase,tam-tam2017,mal-mal,,,13000,14.31,47.21,54.65,77.69,29.28,17000,14.98,48.22,54.52,76.99,30.47
Dravidian,PartialNT.Scenario1,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,3000,12.61,51.74,55.02,80.36,27.15,7000,11.04,49.01,58.00,82.89,23.29
Dravidian,PartialNT.Scenario2,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,6000,10.40,50.63,57.20,83.56,25.68,10000,10.25,50.31,56.97,83.35,25.13
Dravidian,PartialNT.Scenario3,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,,,2000,13.28,53.93,53.58,78.84,30.73,6000,13.18,53.55,54.24,78.94,30.25
Dravidian,RelatedLanguage.PartialNT.Scenario1.PeekAhead,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,tam-tam2017,kan-kan2017,3000,13.59,52.48,52.80,77.86,28.60,7000,12.40,50.67,54.58,79.84,26.15
Dravidian,RelatedLanguage.PartialNT.Scenario2.PeekAhead,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,tam-tam2017,kan-kan2017,5000,10.97,51.06,56.84,83.02,26.53,9000,10.18,50.46,58.02,84.18,25.49
Dravidian,RelatedLanguage.PartialNT.Scenario3.PeekAhead,tam,mal,True,facebook/nllb-200-distilled-600M,tam-tam2017,mal-mal,tam-tam2017,kan-kan2017,3000,13.76,54.47,52.45,77.15,31.25,7000,13.51,54.23,53.92,78.56,31.00
Dravidian,SourceText.Greek.Scenario1,grc,mal,True,facebook/nllb-200-distilled-600M,grc-grcsbl,mal-mal,,,2000,9.82,46.56,63.25,87.57,22.28,6000,8.89,44.03,63.68,87.27,19.87
Dravidian,SourceText.Greek.Scenario2,grc,mal,True,facebook/nllb-200-distilled-600M,grc-grcsbl,mal-mal,,,11000,8.16,46.60,62.59,88.00,21.46,15000,8.27,46.50,62.54,87.48,21.31
Dravidian,SourceText.Greek.Scenario3,grc,mal,True,facebook/nllb-200-distilled-600M,grc-grcsbl,mal-mal,,,9000,11.05,52.06,57.68,82.60,27.47,13000,11.08,51.73,56.75,81.77,27.71
Indo-European,NewToOld.Scenario1,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,8000,18.54,44.75,51.73,67.54,27.48,,,,,,
Indo-European,NewToOld.Scenario2,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,12000,26.00,51.27,48.29,62.00,35.13,,,,,,
Indo-European,Overall.Run1,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,14000,30.27,55.73,43.86,56.25,40.37,18000,30.68,56.17,43.18,55.69,40.82
Indo-European,Overall.Run2,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,7000,32.12,56.04,41.71,53.87,41.93,11000,31.94,55.75,42.92,54.77,41.71
Indo-European,Overall.Run3,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,16000,30.51,54.38,42.45,55.75,39.65,,,,,,
Indo-European,Overall.Run4,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,12000,32.20,56.14,41.95,54.53,41.94,16000,30.80,55.92,42.45,55.55,41.07
Indo-European,Overall.Run5,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,12000,30.19,55.43,44.21,57.44,39.77,,,,,,
Indo-European,PartialNT.Scenario1,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,4000,25.20,50.29,44.91,59.38,31.70,8000,23.81,48.90,45.59,60.33,29.76
Indo-European,PartialNT.Scenario2,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,7000,24.81,51.46,45.76,59.83,32.26,11000,24.68,51.20,45.55,59.60,31.95
Indo-European,PartialNT.Scenario3,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,,,9000,29.53,55.13,40.04,53.33,38.14,13000,29.09,54.94,40.53,53.81,37.90
Indo-European,RelatedLanguage.PartialNT.Scenario1.PeekAhead,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,hin-hin2017,guj-guj2017,2000,26.10,51.65,45.04,59.24,33.56,6000,24.30,50.05,46.42,60.96,31.31
Indo-European,RelatedLanguage.PartialNT.Scenario2.PeekAhead,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,hin-hin2017,guj-guj2017,15000,24.63,50.68,45.90,59.42,31.53,19000,24.23,50.60,46.43,60.02,31.30
Indo-European,RelatedLanguage.PartialNT.Scenario3.PeekAhead,hin,pan,True,facebook/nllb-200-distilled-600M,hin-hin2017,pan-pan,hin-hin2017,guj-guj2017,8000,28.73,54.79,41.34,54.48,37.85,12000,27.60,54.36,42.27,55.97,36.99
Indo-European,SourceText.Greek.Scenario1,grc,pan,True,facebook/nllb-200-distilled-600M,grc-grcsbl,pan-pan,,,3000,17.80,42.23,56.16,72.17,23.62,5000,17.43,41.56,55.91,72.03,22.72
Indo-European,SourceText.Greek.Scenario2,grc,pan,True,facebook/nllb-200-distilled-600M,grc-grcsbl,pan-pan,,,8000,18.05,44.12,54.99,69.97,24.34,12000,18.12,44.15,54.45,69.50,24.32
Indo-European,SourceText.Greek.Scenario3,grc,pan,True,facebook/nllb-200-distilled-600M,grc-grcsbl,pan-pan,,,5000,24.12,50.55,47.55,61.77,32.60,9000,24.18,50.36,47.29,61.63,32.53
Niger-Congo,NewToOld.Scenario1,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,,,11000,15.42,48.96,56.70,80.35,23.42,15000,15.11,49.02,57.60,81.24,23.07
Niger-Congo,Overall.Run1,eBible/swh,eBible/cwe,True,facebook/nllb-200-distilled-600M,eBible/swh-swhonen,eBible/cwe-cwe,,,18000,28.25,60.48,43.63,65.23,37.86,,,,,,
Niger-Congo,Overall.Run1.NLLB-3.3B,swh,cwe,False,facebook/nllb-200-3.3B,swh-swhonen,cwe-cwe,,,,,,,,,,,,,,
Niger-Congo,Overall.Run1.NLLB-distilled-1.3B,swh,cwe,True,facebook/nllb-200-distilled-1.3B,swh-swhonen,cwe-cwe,,,15000,29.88,62.23,41.70,63.10,40.02,19000,30.94,62.56,40.19,61.50,41.04
Niger-Congo,Overall.Run1.NMT.1-1,swh,cwe,True,SILTransformerBase,swh-swhonen,cwe-cwe,,,9000,16.63,45.19,55.22,78.61,24.30,11000,15.49,44.30,55.17,78.66,22.61
Niger-Congo,Overall.Run2,eBible/swh,eBible/cwe,True,facebook/nllb-200-distilled-600M,eBible/swh-swhonen,eBible/cwe-cwe,,,22000,30.55,60.62,43.94,63.73,39.23,24000,31.00,60.91,43.03,62.76,39.84
Niger-Congo,Overall.Run2.NMT.1-1,swh,cwe,True,SILTransformerBase,swh-swhonen,cwe-cwe,,,11000,15.69,45.04,54.97,77.99,23.68,15000,15.69,44.91,54.84,77.61,23.81
Niger-Congo,Overall.Run3,eBible/swh,eBible/cwe,True,facebook/nllb-200-distilled-600M,eBible/swh-swhonen,eBible/cwe-cwe,,,7000,29.01,60.42,44.26,65.11,38.54,11000,29.01,61.32,44.09,66.31,38.19
Niger-Congo,Overall.Run3.NMT.1-1,swh,cwe,True,SILTransformerBase,swh-swhonen,cwe-cwe,,,8000,16.49,44.52,55.16,77.48,23.54,12000,17.11,46.11,54.32,76.84,24.94
Niger-Congo,Overall.Run4,eBible/swh,eBible/cwe,True,facebook/nllb-200-distilled-600M,eBible/swh-swhonen,eBible/cwe-cwe,,,13000,28.79,59.57,43.75,65.45,37.80,,,,,,
Niger-Congo,Overall.Run4.NMT.1-1,swh,cwe,True,SILTransformerBase,swh-swhonen,cwe-cwe,,,12000,16.65,45.80,55.25,77.90,24.54,16000,17.09,45.99,55.06,77.30,24.53
Niger-Congo,Overall.Run5,eBible/swh,eBible/cwe,True,facebook/nllb-200-distilled-600M,eBible/swh-swhonen,eBible/cwe-cwe,,,16000,27.98,59.42,45.31,66.85,37.42,20000,28.83,59.79,44.59,65.66,38.11
